nombre_canton;Lat;Long
guayaquil;-218.333;-7.988.333
babahoyo;-181.666;-7.951.666
quito;-0.216666;-78.5
lago agrio;0.083333;-768.833
cuenca;-2.9;-79
daule;-186.666;-79.983.333
duran;-216.666;-79.842
empalme;-1.041;-796.333
milagro;-21.341;-79.585.666
samborondon;-218.333;-79.883.333
urdaneta;-156.666;-79.47
manta;-0.95;-80.71
machala;-326.667;-79.966.667
gualaquiza;-33.833;-78.583.333
santa elena;-2.222.666;-80.855
guaranda;-160.333;-79
jipijapa;-1.316.667;-8.056.667
azogues;-273.333;-7.883.333
colta;-1.7;-78.75
ibarra;0.357666;-78.124.666
calvas;-4.316.667;-7.956.667
loja;-398.766.667;-79.203
macara;-4.383.333;-79.95
montecristi;-1.05;-8.066.667
morona;-2.3;-78.116.667
sucua;-2.466.667;-7.816.667
santo domingo;-0.2525;-79.169.833
cuyabeno;-0.1166667;-7.583.333
riobamba;-1.671.333;-78.642.333
santa rosa;-34.513.333;-79.957
Alfredo baquerizo moreno;-19.166.667;-795.236.666
naranjal;-2.670.333;-79.609
pedro carbo;-1.816.666;-802.333
santa lucia;-17.139.548;-799.900.388
buena fe;-0.8718446;-794.821.932
ventanas;-1.446.757;-794.721.628
portoviejo;-10.484.448;-803.971
Santa isabel;-32.770.084;-793.188.429
chillanes;-20.330.449;-792.345.514
esmeraldas;0.963597;-796.583.248
salitre;-18.472.495;-79.848.118
mocache;-1.184.135;-795.148.618
quevedo;-10.197;-795.001.179
chimbo;-16.865.535;-790.340.275
cumanda;-22.044.544;-791.417.667
huaquillas;-34.784.242;-802.310.635
balzar;-13.645.788;-799.133.491
playas;-26.370.313;-804.055.883
san jacinto de yaguachi;-20.948.105;-796.948.672
sucre;-0.6186619;-804.273.644
ruminahui;-0.6165566;-788.078.091
canar;-25.583.842;-78.956.423
la mana;-0.9411949;-79.240.359
arenillas;-35.584.816;-800.936.795
colimes;-15.475.107;-800.160.027
el empalme;-1.041;-796.333
palora;-17.041.744;-779.732.753
la libertad;-22.347.644;-809.157.229
ambato;-12.571.434;-786.566.382
el tambo;-2.512.451;-789.342.678
atahualpa;-23.113.212;-807.777.929
san cristobal;-0.9081793;-89.567.113
isabela;-0.955852;-909.708.309
santacruz;-0.7386384;-903.220.798
catamayo;-39.922.739;-793.709.422
montalvo;-17.873.915;-792.968.917
vinces;-15.210.608;-798.664.947
bolivar;0.5009229;-779.113.913
santa ana;-24.216.781;-793.482.828
la troncal;-24.216.781;-793.482.828
tulcan;0.8147288;-777.369.834
mira;0.5502091;-780.452.442
taisha;-23.401.969;-774.768.296
pastaza;-14.870.382;-78.016.272
pedro vicente maldonado;0.0815391;-790.511.798
gualaceo;-28.915.874;-787.928.725
latacunga;-0.931556;-786.146.048
santa cruz;-0.7386384;-903.220.798
salcedo;-10.397.388;-785.998.822
yaguachi;-20.948.105;-796.948.672
el triunfo;-23.301.755;-794.139.862
